COLUMN_1,COLUMN_2
03303 062,033003-62
03303 063,033003-63
03303 064,033003-64
03303 065,033003-65
03303 066,033003-66
03303 067,033003-67
03303 068,033003-68
03303 069 A,033003-69
03303 069 B,033003-69
03303 070 A,033003-70
03303 070 B,033003-70
03303 071,033003-71
03303 072,033003-72
03500 01,035000001
03500 03,035000003
03500 04,035000004
03500 05,035000005
03500 05A,03500005A
03500 05B,03500005B
03500 06,035000006
03500 07,035000007
03500 09,035000009
03500 10,035000010
03500 13,035000013
03500 14,035000014
03500 15,035000015
03500 16,035000016
03500 17,035000017
03500 18,035000018
03500 19,035000019
03700 01,037000001
03700 04,037000004
03700 05,037000005
03700 06,037000006
03700 07B,03700007B
03700 07C,03700007C
03700 07D,03700007D
03700 08,037000008
03700 09B,03700009B
03700 10,037000010
03700 11A,03700011A
03700 12A,03700012A
03700 12B,03700012B
03700 13,037000013
03700 14,037000014
03700 15,037000015
03700 16,037000016
03700 17A,03700017A
03700 17B,03700017B
03700 18,037000018
03700 19A,03700019A
03700 19B,03700019B
03700 20,037000020
03700 21,037000021
03901 1010,039001010
03901 1020,039001020
03901 1030,039001030
03901 1031,039001031
03901 1040,039001040
03901 1041,039001041
03901 1050,039001050
03901 1060,039001060
03901 1080,039001080
03901 1081,039001081
03901 1090,039001090
03901 1091,039001091
03901 1100,039001100
03901 1101,039001101
03901 1110,039001110
03901 1120,039001120
03901 1130,039001130
03901 1140,039001140
03901 1150,039001150
03901 1160,039001160
03901 1161,039001161
03901 1162,039001162
03901 1170,039001170
03901 1171,039001171
03902 2010,039002010
03902 2010A,03902010A
03902 2020,039002020
03902 2030,039002030
03902 2040,039002040
03903 3010,039003010
03903 3020,039003020
03903 3030,039003030
03903 3031,039003031
03903 3032,039003032
03903 3040,039003040
03903 3050,039003050
03903 3051,039003051
03903 3052,039003052
03903 3060,039003060
03903 3070,039003070
03903 3071,039003071
03904 4001,039004001
03904 4010,039004010
03904 4011,039004011
03904 4012,039004012
03904 4020,039004020
03904 4021,039004021
03904 4030,039004030
03904 4040,039004040
03905 5004,039005004
03905 5010,039005010
03905 5020,039005020
03905 5030,039005030
03905 5040,039005040
03905 5041,039005041
03905 5050,039005050
04100 01,041000001
04100 02,041000002
04100 03,041000003
04100 04,041000004
04100 04A,04100004A
04100 04B,04100004B
04100 06,041000006
04100 12,041000012
04100 13,041000013
04100 13A,04100013A
04100 14,041000014
04100 16,041000016
04100 18,041000018
04100 19,041000019
04100 20,041000020
04100 21,041000021
04100 22,041000022
04100 24,041000024
04100 26,041000026
04100 27,041000027
04100 30,041000030
04100 31,041000031
04100 32,041000032
04100 33,041000033
04301 1,0430001-1
04301 2,0430001-2
04301 3,0430001-3
04301 4,0430001-4
04301 5,0430001-5
04301 6,0430001-6
04302 1,0430002-1
04302 2,0430002-2
04302 3,0430002-3
04302 4,0430002-4
04302 5,0430002-5
04303 1,0430003-1
04303 2,0430003-2
04303 3,0430003-3
04303 4,0430003-4
04304 1,0430004-1
04304 2,0430004-2
04304 3,0430004-3
04305 1,0430005-1
04305 2,0430005-2
04305 3,0430005-3
04306 1,0430006-1
04306 2,0430006-2
04306 3,0430006-3
04306 4,0430006-4
04307 1,0430007-1
04307 2,0430007-2
04307 3,0430007-3
04307 4,0430007-4
04307 7,0430007-7
04308 1,0430008-1
04308 2,0430008-2
04308 3,0430008-3
04308 4,0430008-4
04501 01,0450001-1
04501 02,0450001-2
04501 03,0450001-3
04501 04,0450001-4
04502 01,0450002-1
04502 02,0450002-2
04502 03,0450002-3
04503 01,0450003-1
04503 02,0450003-2
04503 03,0450003-3
04503 04,0450003-4
04504 01,0450004-1
04504 02,0450004-2
04504 03,0450004-3
04504 04,0450004-4
04505 01,0450005-1
04505 02,0450005-2
04505 03,0450005-3
04505 04,0450005-4
04505 05,0450005-5
04506 01,0450006-1
04506 02,0450006-2
04506 03,0450006-3
04506 05,0450006-5
04507 01,0450007-1
04507 02,0450007-2
